node,x_mm,y_mm,z_mm
390,-6.812550400757722,-3.383435078532685,-9.574584971518961
391,-6.803828316543873,-3.41307883275198,-9.625421693533621
392,-6.797092673447852,-3.449845824281524,-9.671703679131731
393,-6.792487031937208,-3.4929523875683497,-9.712444479483464
394,-6.790109557687727,-3.541479797680634,-9.746775765406662
395,-6.790010913431887,-3.5943937842696982,-9.773965865751157
396,-6.79219320350325,-3.650566567191327,-9.793435257660809
397,-6.79660992356269,-3.7088009286481407,-9.804768958330568
398,-6.8031669320926085,-3.767855695000737,-9.80772543281087
399,-6.811724479816999,-3.826472223728558,-9.802241664553302
400,-6.822100178799609,-3.8834012023403495,-9.788434523575427
401,-6.83407288341715,-3.9374292915298272,-9.766598309712267
402,-6.847387428035059,-3.9874049751647647,-9.737198374952902
403,-6.861760019413559,-4.032263107788971,-9.70086139676761
404,-6.876884348665646,-4.0710476118228005,-9.658361758830486
405,-6.89243805154019,-4.102931844008669,-9.610605320969425
406,-6.908089637302816,-4.127236310900229,-9.558609922167019
407,-6.923505515839245,-4.143442936240472,-9.503483734633262
408,-6.938357126277794,-4.151206341965289,-9.446401689136241
409,-6.9523279310692025,-4.150361054429215,-9.38858039040999
410,-6.9651201676940175,-4.1409250894123115,-9.331252195204446
411,-6.976461193007122,-4.1230995682628695,-9.27563895479738
412,-6.98610928549393,-4.097264373327347,-9.222925979559792
413,-6.993858825473297,-4.063970205133594,-9.174236737557438
414,-6.999544639135548,-4.023926607247116,-9.130608947049934
415,-7.003045532515669,-3.977987059907133,-9.092972513041902
416,-7.004286908873803,-3.9271306869518,-9.06212951494538
417,-7.0032422939577685,-3.8724414062164016,-9.038737386664167
418,-6.999933963817573,-3.815084824550633,-9.023294641816054
419,-6.994432423512194,-3.7562833955955153,-9.016130440216296
420,-6.986854930839831,-3.697290372466681,-9.017397467483145
421,-6.977362987114863,-3.639363081602529,-9.027068714491673
422,-6.966158892156357,-3.5837361526483598,-9.044938078882613
423,-6.953481447280995,-3.531595168693261,-9.070624679432449
424,-6.939600854560911,-3.4840514342943822,-9.103581038064755
425,-6.924812944157969,-3.442118255644843,-9.14310478762987
426,-6.909432895115213,-3.4066893487278658,-9.18835353779012
427,-6.893788518115754,-3.3785198593250483,-9.238362862495883
428,-6.878213234265695,-3.3582101283288335,-9.292066925886905
429,-6.863039010133233,-3.346193065782677,-9.348321114621836
430,-6.893297922986169,-3.340716896211422,-9.477804338998853
431,-6.881199013788345,-3.3543840884400113,-9.53442610931112
432,-6.8706763832691955,-3.3762728438419916,-9.588734098583098
433,-6.8619542990553475,-3.405916598061286,-9.639570820597758
434,-6.855218655959327,-3.442683589590831,-9.685852806195866
435,-6.850613014448682,-3.4857901528776565,-9.7265936065476
436,-6.848235540199202,-3.53431756298994,-9.760924892470799
437,-6.8481368959433615,-3.5872315495790046,-9.788114992815293
438,-6.8503191860147234,-3.6434043325006336,-9.807584384724944
439,-6.854735906074163,-3.7016386939574475,-9.818918085394703
440,-6.861292914604083,-3.7606934603100437,-9.821874559875004
441,-6.869850462328473,-3.819309989037865,-9.816390791617437
442,-6.880226161311083,-3.876238967649656,-9.802583650639564
443,-6.892198865928624,-3.9302670568391336,-9.780747436776403
444,-6.905513410546534,-3.9802427404740715,-9.751347502017039
445,-6.919886001925033,-4.025100873098277,-9.715010523831747
446,-6.93501033117712,-4.063885377132107,-9.672510885894622
447,-6.950564034051665,-4.095769609317975,-9.62475444803356
448,-6.96621561981429,-4.120074076209535,-9.572759049231154
449,-6.981631498350719,-4.136280701549779,-9.517632861697399
450,-6.996483108789269,-4.1440441072745955,-9.460550816200376
451,-7.010453913580677,-4.143198819738521,-9.402729517474127
452,-7.023246150205492,-4.133762854721618,-9.34540132226858
453,-7.034587175518596,-4.115937333572176,-9.289788081861515
454,-7.044235268005404,-4.090102138636653,-9.237075106623927
455,-7.051984807984772,-4.056807970442901,-9.188385864621573
456,-7.057670621647022,-4.016764372556423,-9.144758074114069
457,-7.0611715150271435,-3.97082482521644,-9.107121640106037
