time_s,normalized_phase,alpha_B_deg,B_T,B_c_T,B_n_rock_T,B_b_rock_T,T_rock_Nmm,Bx_T,By_T,Bz_T
0.1188,0.594,-5.568756164881879,0.010000000000000002,0.00995280464724271,-0.0009704018001961703,-4.336808689942018e-19,-0.0010554310766860166,0.009641314277439791,-0.0015805323748510273,0.002132364043892002
0.11900000000000001,0.595,-5.620833778521307,0.009999999999999998,0.009951918512872367,-0.0009794477592747106,-4.336808689942018e-19,-0.0010652696675954652,0.009639746205168992,-0.001589474402317979,0.0021328066542248736
0.1192,0.596,-5.672689491267566,0.010000000000000002,0.009951027985024128,-0.0009884543698455068,-8.673617379884035e-19,-0.001075065462172625,0.009638176901387005,-0.0015983770233714324,0.0021332456278469916
0.1194,0.597,-5.72432125594591,0.010000000000000002,0.009950133204710375,-0.0009974212793599714,-8.673617379884035e-19,-0.001084818076977632,0.009636606531157768,-0.0016072398960970216,0.0021336809696019506
0.11960000000000001,0.598,-5.775727034222677,0.01,0.009949234313604222,-0.0010063481370780037,0.0,-0.0010945271305375713,0.009635035260049744,-0.0016160626804198974,0.0021341126845956905
0.1198,0.599,-5.826904796685759,0.01,0.009948331454016893,-0.0010152345940806595,-4.336808689942018e-19,-0.0011041922433602622,0.009633463254112854,-0.001624845038115931,0.0021345407781926794
0.12000000000000001,0.6,-5.877852522924733,0.010000000000000002,0.009947424768875031,-0.0010240803032826728,-1.3010426069826053e-18,-0.001113813037947871,0.009631890679855338,-0.0016335866328227617,0.0021349652560120735
0.1202,0.601,-5.92856820161059,0.010000000000000002,0.00994651440169789,-0.0010328849194448063,-4.336808689942018e-19,-0.0011233891388103487,0.009630317704220535,-0.0016422871300506724,0.002135386123923841
0.12040000000000001,0.602,-5.9790498305751845,0.010000000000000002,0.00994560049657446,-0.0010416480991860618,-8.673617379884035e-19,-0.0011329201724787092,0.009628744494563612,-0.001650946197193319,0.0021358033880448588
0.1206,0.603,-6.029295416890246,0.010000000000000002,0.009944683198140505,-0.001050369500995719,-8.673617379884035e-19,-0.0011424057675181224,0.0096271712186282,-0.001659563503538283,0.002136217054734984
0.1208,0.604,-6.079302976946054,0.010000000000000002,0.009943762651555528,-0.0010590487852452236,-8.673617379884035e-19,-0.0011518455545408467,0.009625598044522978,-0.0016681387202774718,0.0021366271305930974
0.12100000000000001,0.605,-6.129070536529762,0.010000000000000002,0.009942839002479654,-0.001067685614199919,-8.673617379884035e-19,-0.0011612391662189838,0.009624025140698197,-0.0016766715205173558,0.002137033622453115
0.1212,0.606,-6.1785961309033395,0.01,0.009941912397050423,-0.0010762796520306195,-1.3010426069826053e-18,-0.0011705862372970708,0.00962245267592214,-0.0016851615792890461,0.002137436537379982
0.12140000000000001,0.607,-6.227877804881128,0.009999999999999998,0.009940982981859558,-0.0010848305648250272,-4.336808689942018e-19,-0.0011798864046044957,0.009620880819257523,-0.0016936085735582106,0.0021378358826656375
0.1216,0.608,-6.276913612907006,0.009999999999999998,0.009940050903929652,-0.001093338020598989,0.0,-0.0011891393070677398,0.009619309740037881,-0.0017020121822348296,0.0021382316658249546
0.1218,0.609,-6.325701619131245,0.01,0.00993911631069075,-0.0011018016893076061,0.0,-0.0011983445857224632,0.009617739607843847,-0.0017103720861827976,0.0021386238945916587
0.12200000000000001,0.61,-6.374239897486897,0.010000000000000004,0.009938179349956961,-0.0011102212428561787,-8.673617379884035e-19,-0.0012075018837254044,0.009616170592479444,-0.0017186879682293602,0.002139012576914224
0.1222,0.611,-6.422526531765845,0.010000000000000002,0.009937240169902932,-0.0011185963551109995,-4.336808689942018e-19,-0.001216610846366122,0.009614602863948305,-0.0017269595131743961,0.0021393977209517474
0.12240000000000001,0.612,-6.47055961569444,0.01,0.009936298919040342,-0.0011269267019099896,-4.336808689942018e-19,-0.001225671121078566,0.009613036592429885,-0.001735186407799542,0.0021397793350698005
0.1226,0.613,-6.518337253008786,0.01,0.009935355746194315,-0.0011352119610731869,-4.336808689942018e-19,-0.0012346823574524767,0.00961147194825561,-0.0017433683408771636,0.0021401574278362653
0.1228,0.614,-6.565857557529565,0.01,0.009934410800479779,-0.0011434518124130652,-4.336808689942018e-19,-0.0012436442072446179,0.009609909101885016,-0.00175150500317916,0.0021405320080171444
0.12300000000000001,0.615,-6.61311865323652,0.01,0.009933464231277831,-0.0011516459377447145,-4.336808689942018e-19,-0.001252556324389841,0.009608348223881867,-0.001759596087485624,0.002140903084572359
0.1232,0.616,-6.660118674342513,0.01,0.009932516188212039,-0.0011597940208958604,-8.673617379884035e-19,-0.001261418365011987,0.009606789484890245,-0.001767641288593344,0.0021412706666515285
